ego_id;part_year;satisf;consider;reduc_success_proj;part_again;furt_reduc;reduc_success_farm;CC_import;CC_import_change
1;2011;4;4;4;1;1;3;4;5
2;2016;5;5;3;1;1;3;5;4
3;2016;3;4;4;1;1;4;4;3
4;2017;3;3;3;1;2;4;2;4
5;2011;3;2;2;1;1;5;4;5
6;2016;3;3;1;0;1;3;4;5
7;2017;4;3;3;1;1;4;5;5
8;2013;4;4;2;1;1;2;2;5
9;2011;3;4;2;1;1;3;5;5
10;2011;3;5;2;2;0;3;4;3
11;2016;4;2;4;1;1;5;1;3
12;2011;3;4;2;1;0;4;5;5
13;2011;3;5;2;2;0;3;4;3
14;2011;5;4;4;1;1;5;5;3
15;2017;4;4;1;1;1;3;3;5
16;2008;4;4;3;1;1;3;4;5
18;2011;3;3;5;1;1;5;5;4
19;2016;3;5;4;1;1;3;3;4
20;2016;3;4;2;2;2;3;3;4
21;2016;4;2;3;1;1;3;4;5
22;2016;2;2;2;1;0;2;5;4
23;2016;4;4;2;1;1;1;2;4
26;2013;4;4;3;1;1;5;4;2
27;2011;4;5;2;1;1;4;5;5
28;2011;5;4;4;1;1;5;4;4
