id_survey;ego_id;total_agr_land;workforce;trees;arable_land;ley;perm_grass;perm_crops;prot_cult;add_agr_land;oth_land;qual_landscape;spec_crops;grapes;vegetables;fruits;oth_spec_crops;animal_unit;cattle_animal_unit;dairy_cows;suckler_cows;hor_shee_goa;pigs_poultry;pigs;poultry;eco_proof;organic;farmtype;region;age;educ;cons_general;percep_hail;percep_drought;percep_frost;percep_heavyrain;percep_longrain;percep_heat;cons_farm;self_reduc;self_act;self_cap;self_conf;self_not;legum;legum_eff;conc;conc_eff;add;add_eff;lact;lact_eff;breed;breed_eff;covman;covman_eff;comp;comp_eff;drag;drag_eff;cov;cov_eff;plough;plough_eff;solar;solar_eff;biog;biog_eff;ecodr;ecodr_eff;legum_imag;conc_imag;add_imag;lact_imag;breed_imag;covman_imag;comp_imag;drag_imag;cov_imag;plough_imag;solar_imag;biog_imag;ecodr_imag;activ_dairy;activ_cattle;activ_pig;activ_poultry;activ_arab;activ_special;activ_nonag;attain_ghg;attain_yield;attain_biodiv;attain_soil;attain_incom;attain_acknow;innov_pion;innov_early;innov_thorou;innov_others;innov_trad;satisf_ldw;thresh_ldw;satisf_total;thresh_total;share;others_opinions;soc_impr;soc_inc;soc_env;soc_compinc;soc_compenv;net_name1_neigh;net_name1_work;net_name1_frien;net_name1_fam;net_name1_part;net_name1_club;net_name1_vet;net_name1_ext;net_name1_oth;net_name2_neigh;net_name2_work;net_name2_frien;net_name2_fam;net_name2_part;net_name2_club;net_name2_vet;net_name2_ext;net_name2_oth;net_name3_neigh;net_name3_work;net_name3_frien;net_name3_fam;net_name3_part;net_name3_club;net_name3_vet;net_name3_ext;net_name3_oth;net_name4_neigh;net_name4_work;net_name4_frien;net_name4_fam;net_name4_part;net_name4_club;net_name4_vet;net_name4_ext;net_name4_oth;net_name5_neigh;net_name5_work;net_name5_frien;net_name5_fam;net_name5_part;net_name5_club;net_name5_vet;net_name5_ext;net_name5_oth;net_name6_neigh;net_name6_work;net_name6_frien;net_name6_fam;net_name6_part;net_name6_club;net_name6_vet;net_name6_ext;net_name6_oth;net_name7_neigh;net_name7_work;net_name7_frien;net_name7_fam;net_name7_part;net_name7_club;net_name7_vet;net_name7_ext;net_name7_oth;net_name8_neigh;net_name8_work;net_name8_frien;net_name8_fam;net_name8_part;net_name8_club;net_name8_vet;net_name8_ext;net_name8_oth;net_name9_neigh;net_name9_work;net_name9_frien;net_name9_fam;net_name9_part;net_name9_club;net_name9_vet;net_name9_ext;net_name9_oth;net_name10_neigh;net_name10_work;net_name10_frien;net_name10_fam;net_name10_part;net_name10_club;net_name10_vet;net_name10_ext;net_name10_oth;net_name1_imp;net_name2_imp;net_name3_imp;net_name4_imp;net_name5_imp;net_name6_imp;net_name7_imp;net_name8_imp;net_name9_imp;net_name10_imp;lott_1;lott_2;lott_3;agroconcept;network;GHG_goal;env_goal;biodiv_goal;acknow_goal;yield_goal;income_goal;info_gew;info_resul;interviewtime;co22011;co22015;co22018;reducpercent;mainprodcution
12;22;5107;4.11218;59;1879;1101;1941;0;0;51;575;0;5;0;5;0;0;69.3598;69.3598;63.8;0;0;0;0;0;1;1;Livestock;Flaachtal;41;1;4;1;2;1;3;2;2;4;5;3;4;3;5;1;4;1;5;2;4;2;4;2;2;1;2;2;2;1;4;1;5;2;3;1;5;2;2;1;3;NA;NA;1;0;0;NA;1;NA;NA;0;NA;0;NA;3;1;5;5;1;2;1;4;3;5;5;5;2;4;5;4;1;5;5;11;5;11;4;1;1;4;5;1;4;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;2;2;1;1;3;5;4;1;2;6;2;2;1806.6;;377;447;18.57;dairy
16;2;4424;3.02111;65;2813;623;935;0;0;10;756;0;0;0;0;0;0;4.854;0;0;0;4.854;0;0;0;1;0;Others;Kohlfirst/Rhein;39;1;5;2;2;2;2;1;2;4;5;5;3;5;5;1;5;2;4;1;4;1;4;2;4;1;5;2;3;1;4;1;4;2;3;2;5;2;5;2;5;NA;0;NA;NA;1;NA;0;NA;NA;1;1;1;1;2;5;5;5;1;2;4;4;2;3;3;2;4;3;4;3;4;5;3;5;3;2;4;3;3;3;4;1;4;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;NA;NA;NA;NA;NA;NA;NA;NA;10;9;5;1;2;4;5;6;3;1;2;2;2;1729.25;;536;684;27.61;dairy
22;15;6516;4.72324;82;3395;1386;1159;0;0;5;282;0;0;0;0;0;0;84.8934;82.6734;71.8274;0;2.1;0.12;0;0.12;1;0;Livestock;Flaachtal;NA;1;4;1;2;1;2;2;2;4;5;5;2;5;5;2;2;2;1;2;3;2;1;2;1;2;1;2;2;1;4;1;4;2;3;2;2;2;5;1;4;1;1;1;1;1;0;NA;NA;NA;0;0;1;NA;1;5;5;5;1;3;3;4;4;4;5;4;3;3;5;3;5;5;3;8;3;5;4;2;1;4;5;3;4;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;2;3;2;2;NA;NA;NA;NA;15;15;8;1;6;2;5;4;1;3;6;2;1;1156.15;;542;508;-6.27;dairy
31;19;4048;4.21357;80;2238;648;1137;5;0;20;302;0;0;0;5;0;0;83.3537;83.3537;80.0466;0;0;0;0;0;1;0;Livestock;Flaachtal;41;3;4;1;2;2;2;2;1;4;3;3;2;2;2;1;2;2;1;2;2;2;1;2;3;1;4;2;1;1;4;1;3;1;4;1;3;2;1;1;4;NA;0;1;0;1;NA;0;NA;NA;NA;NA;1;NA;2;2;3;3;1;2;2;4;3;2;5;1;5;3;3;4;4;2;1;6;3;4;3;2;2;5;3;2;2;1;1;1;NA;NA;1;NA;NA;NA;NA;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;3;3;3;2;2;NA;NA;NA;8;15;5;1;7;4;5;1;3;2;6;1;1;2430.85;;565;649;14.87;dairy
49;7;3834;1.84709;128;3212;0;493;129;0;0;2185;0;129;129;0;0;0;0;0;0;0;0;0;0;0;1;0;Arable farming;Kohlfirst/Rhein;41;3;5;2;3;2;1;2;3;4;5;5;4;5;4;3;4;3;3;3;3;3;2;3;3;3;4;3;5;1;4;1;5;1;4;2;4;2;4;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;5;4;5;5;1;1;2;4;3;2;3;4;2;4;5;4;3;5;2;8;4;6;3;4;3;4;5;2;5;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;2;2;2;2;2;3;1;2;3;1;8;9;6;1;10;5;4;1;6;2;3;2;1;1503.48;;62;50;-19.35;arable
51;10;1170;0.59958;43;931;0;211;28;0;0;19;0;28;28;0;0;0;0.14;0;0;0;0;0.14;0;0.14;1;0;Arable farming;Flaachtal;49;1;4;1;2;1;2;1;2;4;3;2;4;4;2;2;NA;2;NA;3;NA;3;NA;3;NA;1;5;2;NA;1;5;2;NA;2;NA;2;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;NA;NA;5;5;5;5;1;2;1;4;2;3;4;1;4;3;4;4;4;4;3;7;4;7;2;2;1;1;4;3;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;NA;NA;NA;NA;NA;NA;NA;NA;5;12;4;1;2;2;5;3;1;4;6;2;1;1383.45;19;10.5;17.7;68.57;arable
62;23;4829;3.32753;105;3248;379;425;5;0;25;358;0;300;0;10;5;285;39.0264;38.6764;16.9534;0;0.35;0;0;0;1;0;Livestock;Flaachtal;46;2;4;2;2;1;2;1;2;4;3;3;2;4;4;2;4;1;4;2;5;2;3;2;NA;1;4;2;NA;2;2;2;3;2;1;2;NA;2;NA;1;3;1;NA;1;1;1;NA;0;0;1;0;1;1;NA;2;1;4;3;1;1;1;3;3;4;4;4;3;4;5;4;3;4;4;6;4;4;4;4;5;5;3;5;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;2;NA;NA;NA;NA;NA;NA;7;15;7;1;4;1;5;6;2;3;4;1;1;2369.49;;261;257;-1.53;dairy
64;6;2180;3.00159;82;1226;326;582;0;0;23;73;0;448;0;448;0;0;26.2511;0;0;0;2.2511;24;0;24;1;1;Livestock;Kohlfirst/Rhein;NA;4;4;2;3;2;1;1;2;4;5;5;3;4;4;1;4;2;4;2;4;3;3;3;4;1;3;2;3;2;4;1;4;1;4;1;5;2;2;1;3;NA;NA;NA;NA;NA;NA;1;0;NA;NA;NA;1;NA;4;4;4;2;1;1;2;4;3;3;4;4;2;5;4;3;5;5;4;7;5;5;4;4;3;4;5;2;5;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;2;3;3;2;1;2;2;NA;10;10;7;1;9;3;5;4;1;2;6;1;1;2242.02;;55;51;-7.27;arable
67;14;3908;1.0784;28;3010;50;244;0;0;6;196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;Arable farming;Flaachtal;NA;1;2;2;3;1;3;3;3;2;5;4;5;5;5;3;4;3;2;3;5;3;4;3;2;3;4;1;5;1;5;1;5;1;4;1;3;2;5;1;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;5;5;5;5;1;2;1;5;4;4;4;3;4;5;5;4;5;5;4;9;4;10;2;1;1;2;4;1;5;NA;1;NA;NA;1;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;1;1;1;2;1;8;4;1;10;3;1;2;6;5;4;2;1;3673.76;57;14;11;-21.43;arable
69;18;3908;1.0784;28;3010;50;244;0;0;6;196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;Arable farming;Flaachtal;NA;2;4;1;2;2;2;1;2;4;4;3;2;3;4;3;4;3;4;3;4;3;4;2;4;1;5;1;3;1;4;1;4;2;2;2;2;2;4;1;4;NA;NA;NA;NA;1;NA;NA;NA;NA;0;1;1;NA;2;1;4;4;1;1;2;2;3;2;2;3;3;3;2;2;4;3;4;6;4;3;4;2;2;3;4;1;4;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;2;1;2;2;2;1;2;1;2;4;3;2;1;10;4;5;6;1;2;3;2;1;1883.43;57;14;11;-21.43;arable
