sender_id;receiver_id;frequency;friend;workmate;neighbour;familymember;partner;colleague_association;other;frequency_bef;friend_bef;workmate_bef;neighbour_bef;familymember_bef;partner_bef;colleague_association_bef;other_bef;influence_part;knowledge;advice_freq;trust
1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;4;0;4
1;29;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;4;2;4
1;30;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;5;2;4
1;20;2;0;1;0;0;0;1;0;2;0;0;0;0;0;0;1;1;3;2;4
1;26;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;4;0;4
1;14;2;0;1;0;0;0;1;0;2;0;1;0;0;0;0;0;4;5;2;4
1;15;2;0;1;1;0;0;1;0;2;0;1;1;0;0;0;0;1;3;1;4
2;14;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;5;3;5
2;31;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;1;4;1;4
2;32;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;4;0;4
3;4;2;0;1;0;0;0;1;0;2;0;1;0;0;0;0;1;1;4;2;4
3;14;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;5;5;1;4
3;19;2;0;1;0;0;0;1;0;2;0;1;0;0;0;1;0;2;4;2;4
3;33;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;2;4
4;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;2;4
4;27;2;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;1;3;1;4
4;16;2;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;1;3;2;4
4;14;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;4;5;2;4
5;14;2;1;1;0;0;0;1;0;2;1;1;0;0;0;0;0;5;5;3;5
5;28;2;1;1;0;0;0;1;1;1;1;1;0;0;0;0;0;2;4;2;4
5;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;4;0;3
5;12;2;0;1;0;0;0;1;0;2;0;1;0;0;0;0;0;1;4;1;4
5;6;2;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;1;5;2;5
5;4;2;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;5;1;4
5;15;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;4;1;4
6;14;1;0;1;0;0;0;1;0;2;0;1;0;0;0;0;0;2;4;1;4
7;18;2;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;2;4;2;4
7;12;2;0;1;0;0;0;1;0;3;0;0;0;0;0;1;0;3;4;2;4
7;14;3;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;5;5;3;4
7;19;4;1;1;0;0;0;1;0;3;1;1;0;0;0;1;0;4;4;3;4
8;14;2;0;1;0;0;0;1;0;2;0;1;0;0;0;0;0;5;5;0;4
9;7;3;1;1;0;0;0;0;0;3;1;1;0;0;0;0;0;1;4;0;4
9;18;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;3
9;16;3;1;1;0;0;0;0;0;4;1;1;0;0;0;0;0;1;4;0;4
9;17;4;1;1;0;0;0;0;0;4;1;1;0;0;0;0;0;1;3;0;4
9;12;4;1;1;0;0;0;0;0;4;1;1;0;0;0;0;0;1;4;0;4
9;14;3;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;5;5;2;4
9;34;4;1;1;0;1;0;1;0;4;1;1;0;1;0;1;0;1;4;1;4
10;27;3;0;0;0;0;0;1;1;4;0;0;0;0;0;0;1;1;4;1;3
10;13;1;0;0;0;0;0;1;1;2;0;0;0;0;0;1;1;1;2;0;2
10;54;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;4;0;4
10;55;2;0;0;0;0;0;0;1;5;0;0;0;0;0;0;1;1;4;0;4
10;20;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;4;0;4
11;14;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;4;5;2;4
12;16;3;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;2;3;4
12;17;4;1;1;0;0;0;0;0;4;1;1;0;0;0;0;0;1;2;3;4
12;9;3;0;1;0;0;0;0;0;3;0;1;0;0;0;0;0;4;4;0;3
12;20;2;0;1;0;0;0;0;1;2;0;1;0;0;0;0;0;1;2;2;2
12;19;3;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;1;4;2;4
