sender_id;receiver_id;nodetype;influence_x;influence_y
57;124;influential people;0.264619883;0.627192982
57;125;influential people;0.500730994;0.480263158
57;84;influential people;0.42251462;0.337171053
57;126;influential people;0.598684211;0.351973684
57;127;influential people;0.461988304;0.684758772
58;14;influential people;0.29751462;0.731907895
58;104;influential people;0.488669591;0.493969298
60;104;influential people;0.304824561;0.712171053
60;;influential people;0.667763158;0.355811404
60;60;influential people;0.448464912;0.496710526
61;14;influential people;0.493726937;0.773596177
62;128;influential people;0.415435746;0.688397129
62;129;influential people;0.591949778;0.642344498
63;125;influential people;0.477859779;0.775985663
65;29;influential people;0.332103321;0.562724014
66;14;influential people;0.502214022;0.783154122
68;Agrarpolitik CH;influential people;0.492250923;0.505376344
68;Zwischenhandel/Fenaco;influential people;0.548708487;0.625448029
68;Natur;influential people;0.494464945;0.516726404
71;19;influential people;0.489298893;0.78255675
71;12;influential people;0.599630996;0.752688172
72;21;influential people;0.548976608;0.55
72;9;influential people;0.395467836;0.512352941
72;54;influential people;0.341739766;0.538823529
72;14;influential people;0.485745614;0.651176471
72;27;influential people;0.638157895;0.352941176
72;1;influential people;0.630116959;0.625882353
72;108;influential people;0.408260234;0.657058824
73;14;influential people;0.507380074;0.632616487
74;130;influential people;0.514391144;0.644563919
74;125;influential people;0.434686347;0.594982079
76;14;influential people;0.322368421;0.510964912
76;120;influential people;0.617324561;0.625548246
76;Politik;influential people;0.513888889;0.529605263
76;Abnehmer;influential people;0.42251462;0.406798246
81;131;influential people;0.496345029;0.503837719
77;Fenaco;influential people;0.457236842;0.478070175
77;120;influential people;0.581140351;0.759320175
77;ZBV ;influential people;0.520467836;0.579495614
78;128;influential people;0.414108187;0.565241228
78;132;influential people;0.59247076;0.391447368
78;133;influential people;0.511330409;0.490679825
79;Berater;influential people;0.338450292;0.650767544
79;Gemeinderat;influential people;0.502192982;0.518640351
